ts,gpu,gr_engine_active,dram_active,tensor_active,power_w,fb_used_mib
1781293054,3,0.000000,0.000000,0.000000,239.187000,169267
1781293054,4,0.000000,0.000000,0.000000,245.069000,169267
1781293054,5,0.000000,0.000000,0.000000,237.715000,170113
1781293054,6,0.000000,0.000000,0.000000,244.834000,170383
1781293054,7,0.000000,0.000000,0.000000,235.955000,170183
1781293056,0,0.000000,0.000000,0.000000,245.720000,170179
1781293056,1,0.000000,0.000000,0.000000,241.686000,170007
1781293056,2,0.000000,0.000000,0.000000,245.936000,170105
1781293056,3,0.000000,0.000000,0.000000,239.187000,169267
1781293056,4,0.000000,0.000000,0.000000,245.069000,169267
1781293056,5,0.000000,0.000000,0.000000,237.715000,170113
1781293056,6,0.000000,0.000000,0.000000,244.834000,170383
1781293056,7,0.000000,0.000000,0.000000,235.955000,170183
1781293058,0,0.000000,0.000000,0.000000,245.720000,170179
1781293058,1,0.000000,0.000000,0.000000,241.686000,170007
1781293058,2,0.000000,0.000000,0.000000,245.936000,170105
1781293058,3,0.000000,0.000000,0.000000,239.187000,169267
1781293058,4,0.000000,0.000000,0.000000,245.069000,169267
1781293058,5,0.000000,0.000000,0.000000,237.715000,170113
1781293058,6,0.000000,0.000000,0.000000,244.834000,170383
1781293058,7,0.000000,0.000000,0.000000,235.955000,170183
1781293060,0,0.000000,0.000000,0.000000,245.720000,170179
1781293060,1,0.000000,0.000000,0.000000,241.686000,170007
1781293060,2,0.000000,0.000000,0.000000,245.936000,170105
1781293060,3,0.000000,0.000000,0.000000,239.187000,169267
1781293060,4,0.000000,0.000000,0.000000,245.069000,169267
1781293060,5,0.000000,0.000000,0.000000,237.715000,170113
1781293060,6,0.000000,0.000000,0.000000,244.834000,170383
1781293060,7,0.000000,0.000000,0.000000,235.955000,170183
1781293063,0,0.281614,0.079807,0.060028,800.937000,170179
1781293063,1,0.267795,0.080599,0.058002,734.356000,170009
1781293063,2,0.269594,0.079692,0.057812,739.287000,170107
1781293063,3,0.283745,0.082269,0.062025,755.034000,169267
1781293063,4,0.275111,0.082287,0.062034,759.712000,169269
1781293063,5,0.273783,0.079116,0.059194,806.803000,170115
1781293063,6,0.276118,0.082366,0.060786,804.900000,170385
1781293063,7,0.280452,0.083228,0.061653,779.547000,170183
1781293065,0,0.281614,0.079807,0.060028,800.937000,170179
1781293065,1,0.267795,0.080599,0.058002,734.356000,170009
1781293065,2,0.269594,0.079692,0.057812,739.287000,170107
1781293065,3,0.283745,0.082269,0.062025,755.034000,169267
1781293065,4,0.275111,0.082287,0.062034,759.712000,169269
1781293065,5,0.273783,0.079116,0.059194,806.803000,170115
1781293065,6,0.276118,0.082366,0.060786,804.900000,170385
1781293065,7,0.280452,0.083228,0.061653,779.547000,170183
1781293067,0,0.281614,0.079807,0.060028,800.937000,170179
1781293067,1,0.267795,0.080599,0.058002,734.356000,170009
1781293067,2,0.269594,0.079692,0.057812,739.287000,170107
1781293067,3,0.283745,0.082269,0.062025,755.034000,169267
1781293067,4,0.275111,0.082287,0.062034,759.712000,169269
1781293067,5,0.273783,0.079116,0.059194,806.803000,170115
1781293067,6,0.276118,0.082366,0.060786,804.900000,170385
1781293067,7,0.280452,0.083228,0.061653,779.547000,170183
1781293069,0,0.281614,0.079807,0.060028,800.937000,170179
1781293069,1,0.267795,0.080599,0.058002,734.356000,170009
1781293069,2,0.269594,0.079692,0.057812,739.287000,170107
1781293069,3,0.283745,0.082269,0.062025,755.034000,169267
1781293069,4,0.275111,0.082287,0.062034,759.712000,169269
1781293069,5,0.273783,0.079116,0.059194,806.803000,170115
1781293069,6,0.276118,0.082366,0.060786,804.900000,170385
1781293069,7,0.280452,0.083228,0.061653,779.547000,170183
1781293071,0,0.281614,0.079807,0.060028,800.937000,170179
1781293071,1,0.267795,0.080599,0.058002,734.356000,170009
1781293071,2,0.269594,0.079692,0.057812,739.287000,170107
1781293071,3,0.283745,0.082269,0.062025,755.034000,169267
1781293071,4,0.275111,0.082287,0.062034,759.712000,169269
1781293071,5,0.273783,0.079116,0.059194,806.803000,170115
1781293071,6,0.276118,0.082366,0.060786,804.900000,170385
1781293071,7,0.280452,0.083228,0.061653,779.547000,170183
1781293073,0,0.281614,0.079807,0.060028,800.937000,170179
1781293073,1,0.267795,0.080599,0.058002,734.356000,170009
1781293073,2,0.269594,0.079692,0.057812,739.287000,170107
1781293073,3,0.283745,0.082269,0.062025,755.034000,169267
1781293073,4,0.275111,0.082287,0.062034,759.712000,169269
1781293073,5,0.273783,0.079116,0.059194,806.803000,170115
1781293073,6,0.276118,0.082366,0.060786,804.900000,170385
1781293073,7,0.280452,0.083228,0.061653,779.547000,170183
1781293075,0,0.281614,0.079807,0.060028,800.937000,170179
1781293075,1,0.267795,0.080599,0.058002,734.356000,170009
1781293075,2,0.269594,0.079692,0.057812,739.287000,170107
1781293075,3,0.283745,0.082269,0.062025,755.034000,169267
1781293075,4,0.275111,0.082287,0.062034,759.712000,169269
1781293075,5,0.273783,0.079116,0.059194,806.803000,170115
1781293075,6,0.276118,0.082366,0.060786,804.900000,170385
1781293075,7,0.280452,0.083228,0.061653,779.547000,170183
1781293077,0,0.281614,0.079807,0.060028,800.937000,170179
1781293077,1,0.267795,0.080599,0.058002,734.356000,170009
1781293077,2,0.269594,0.079692,0.057812,739.287000,170107
1781293077,3,0.283745,0.082269,0.062025,755.034000,169267
1781293077,4,0.275111,0.082287,0.062034,759.712000,169269
1781293077,5,0.273783,0.079116,0.059194,806.803000,170115
1781293077,6,0.276118,0.082366,0.060786,804.900000,170385
1781293077,7,0.280452,0.083228,0.061653,779.547000,170183
1781293079,0,0.281614,0.079807,0.060028,800.937000,170179
1781293079,1,0.267795,0.080599,0.058002,734.356000,170009
1781293079,2,0.269594,0.079692,0.057812,739.287000,170107
1781293079,3,0.283745,0.082269,0.062025,755.034000,169267
1781293079,4,0.275111,0.082287,0.062034,759.712000,169269
1781293079,5,0.273783,0.079116,0.059194,806.803000,170115
1781293079,6,0.276118,0.082366,0.060786,804.900000,170385
1781293079,7,0.280452,0.083228,0.061653,779.547000,170183
1781293081,0,0.281614,0.079807,0.060028,800.937000,170179
1781293081,1,0.267795,0.080599,0.058002,734.356000,170009
1781293081,2,0.269594,0.079692,0.057812,739.287000,170107
1781293081,3,0.283745,0.082269,0.062025,755.034000,169267
1781293081,4,0.275111,0.082287,0.062034,759.712000,169269
1781293081,5,0.273783,0.079116,0.059194,806.803000,170115
1781293081,6,0.276118,0.082366,0.060786,804.900000,170385
1781293081,7,0.280452,0.083228,0.061653,779.547000,170183
1781293083,0,0.281614,0.079807,0.060028,800.937000,170179
1781293083,1,0.267795,0.080599,0.058002,734.356000,170009
1781293083,2,0.269594,0.079692,0.057812,739.287000,170107
1781293083,3,0.283745,0.082269,0.062025,755.034000,169267
1781293083,4,0.275111,0.082287,0.062034,759.712000,169269
1781293083,5,0.273783,0.079116,0.059194,806.803000,170115
1781293083,6,0.276118,0.082366,0.060786,804.900000,170385
1781293083,7,0.280452,0.083228,0.061653,779.547000,170183
1781293085,0,0.281614,0.079807,0.060028,800.937000,170179
1781293085,1,0.267795,0.080599,0.058002,734.356000,170009
1781293085,2,0.269594,0.079692,0.057812,739.287000,170107
1781293085,3,0.283745,0.082269,0.062025,755.034000,169267
1781293085,4,0.275111,0.082287,0.062034,759.712000,169269
1781293085,5,0.273783,0.079116,0.059194,806.803000,170115
1781293085,6,0.276118,0.082366,0.060786,804.900000,170385
1781293085,7,0.280452,0.083228,0.061653,779.547000,170183
1781293087,0,0.281614,0.079807,0.060028,800.937000,170179
1781293087,1,0.267795,0.080599,0.058002,734.356000,170009
1781293087,2,0.269594,0.079692,0.057812,739.287000,170107
1781293087,3,0.283745,0.082269,0.062025,755.034000,169267
1781293087,4,0.275111,0.082287,0.062034,759.712000,169269
1781293087,5,0.273783,0.079116,0.059194,806.803000,170115
1781293087,6,0.276118,0.082366,0.060786,804.900000,170385
1781293087,7,0.280452,0.083228,0.061653,779.547000,170183
1781293089,0,0.281614,0.079807,0.060028,800.937000,170179
1781293089,1,0.267795,0.080599,0.058002,734.356000,170009
1781293089,2,0.269594,0.079692,0.057812,739.287000,170107
1781293089,3,0.283745,0.082269,0.062025,755.034000,169267
1781293089,4,0.275111,0.082287,0.062034,759.712000,169269
1781293089,5,0.273783,0.079116,0.059194,806.803000,170115
1781293089,6,0.276118,0.082366,0.060786,804.900000,170385
1781293089,7,0.280452,0.083228,0.061653,779.547000,170183
1781293091,0,0.751829,0.238606,0.168809,848.389000,170181
1781293091,1,0.748158,0.229899,0.157612,754.682000,170009
1781293091,2,0.755321,0.228981,0.157796,755.903000,170107
1781293091,3,0.798034,0.232718,0.177653,877.718000,169269
1781293091,4,0.773294,0.231557,0.176924,883.792000,169269
1781293091,5,0.825206,0.237563,0.166756,836.473000,170115
1781293091,6,0.760044,0.228260,0.164692,806.608000,170385
1781293091,7,0.770843,0.227944,0.165060,767.769000,170183
1781293093,0,0.751829,0.238606,0.168809,848.389000,170181
1781293093,1,0.748158,0.229899,0.157612,754.682000,170009
1781293093,2,0.755321,0.228981,0.157796,755.903000,170107
1781293093,3,0.798034,0.232718,0.177653,877.718000,169269
1781293093,4,0.773294,0.231557,0.176924,883.792000,169269
1781293093,5,0.825206,0.237563,0.166756,836.473000,170115
1781293093,6,0.760044,0.228260,0.164692,806.608000,170385
1781293093,7,0.770843,0.227944,0.165060,767.769000,170183
1781293095,0,0.751829,0.238606,0.168809,848.389000,170181
1781293095,1,0.748158,0.229899,0.157612,754.682000,170009
1781293095,2,0.755321,0.228981,0.157796,755.903000,170107
1781293095,3,0.798034,0.232718,0.177653,877.718000,169269
1781293095,4,0.773294,0.231557,0.176924,883.792000,169269
1781293095,5,0.825206,0.237563,0.166756,836.473000,170115
1781293095,6,0.760044,0.228260,0.164692,806.608000,170385
1781293095,7,0.770843,0.227944,0.165060,767.769000,170183
1781293097,0,0.751829,0.238606,0.168809,848.389000,170181
1781293097,1,0.748158,0.229899,0.157612,754.682000,170009
1781293097,2,0.755321,0.228981,0.157796,755.903000,170107
1781293097,3,0.798034,0.232718,0.177653,877.718000,169269
1781293097,4,0.773294,0.231557,0.176924,883.792000,169269
1781293097,5,0.825206,0.237563,0.166756,836.473000,170115
1781293097,6,0.760044,0.228260,0.164692,806.608000,170385
1781293097,7,0.770843,0.227944,0.165060,767.769000,170183
1781293099,0,0.751829,0.238606,0.168809,848.389000,170181
1781293099,1,0.748158,0.229899,0.157612,754.682000,170009
1781293099,2,0.755321,0.228981,0.157796,755.903000,170107
1781293099,3,0.798034,0.232718,0.177653,877.718000,169269
1781293099,4,0.773294,0.231557,0.176924,883.792000,169269
1781293099,5,0.825206,0.237563,0.166756,836.473000,170115
1781293099,6,0.760044,0.228260,0.164692,806.608000,170385
1781293099,7,0.770843,0.227944,0.165060,767.769000,170183
1781293101,0,0.751829,0.238606,0.168809,848.389000,170181
