#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:45:27       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:28       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:28       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:29       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:29       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:30       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:30       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:31       0      0      0      0      0      0      0  12481   2310  91763  91764      0 
 20260615    13:45:31       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:45:32       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:32       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:33       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:33       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:34       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:34       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:35       0      0      0      0      0      0      0  12481   2310  91763  91764      0 
 20260615    13:45:35       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:36       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:36       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:37       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:37       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:38       0     91     39      0      0      0      0  12481   2287  91763  91764      0 
 20260615    13:45:38       1     99     24      0      0      0      0  12481   2317  91769  91770      0 
 20260615    13:45:39       0    100     47      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:39       1    100     42      0      0      0      0  12481   2385  91769  91770      0 
 20260615    13:45:40       0    100     47      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:40       1    100     44      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:41       0    100     47      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:41       1    100     44      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:42       0    100     48      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:42       1    100     45      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:43       0    100     49      0      0      0      0  12481   2392  91763  91764      0 
 20260615    13:45:43       1    100     46      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:44       0    100     51      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:44       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:46       0    100     51      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:46       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:47       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:47       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:48       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:48       1    100     50      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:49       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
